toclevel	level	line	number	index	fromtitle	byteoffset	anchor	revid	date	data-filter	time
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	811105343	2017-11-19	2017-11-19	15:16:09Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	810735488	2017-11-17	2017-11-17	03:11:08Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	810065337	2017-11-13	2017-11-13	04:36:37Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	809994479	2017-11-12	2017-11-12	20:11:57Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	808741874	2017-11-04	2017-11-04	21:34:32Z
1	2	History of the debate	1	1	Race_and_intelligence	2495	History_of_the_debate	808232141	2017-11-01	2017-11-01	17:33:48Z
1	2	History of the debate	1	1	Race_and_intelligence	2495	History_of_the_debate	807953512	2017-10-31	2017-10-31	00:58:05Z
1	2	History of the debate	1	1	Race_and_intelligence	2495	History_of_the_debate	807782529	2017-10-30	2017-10-30	02:43:58Z
1	2	History of the debate	1	1	Race_and_intelligence	2495	History_of_the_debate	807456797	2017-10-28	2017-10-28	02:07:54Z
1	2	History of the debate	1	1	Race_and_intelligence	2494	History_of_the_debate	807414283	2017-10-27	2017-10-27	20:00:05Z
1	2	History of the debate	1	1	Race_and_intelligence	2494	History_of_the_debate	806779498	2017-10-24	2017-10-24	03:03:01Z
1	2	History of the debate	1	1	Race_and_intelligence	2494	History_of_the_debate	806406103	2017-10-21	2017-10-21	20:35:06Z
1	2	History of the debate	1	1	Race_and_intelligence	2468	History_of_the_debate	806171459	2017-10-20	2017-10-20	04:58:05Z
1	2	History of the debate	1	1	Race_and_intelligence	2419	History_of_the_debate	804133545	2017-10-06	2017-10-06	23:59:17Z
1	2	History of the debate	1	1	Race_and_intelligence	2420	History_of_the_debate	803784876	2017-10-04	2017-10-04	16:39:58Z
1	2	History of the debate	1	1	Race_and_intelligence	2420	History_of_the_debate	803346247	2017-10-01	2017-10-01	23:29:45Z
1	2	History of the debate	1	1	Race_and_intelligence	2420	History_of_the_debate	801814704	2017-09-22	2017-09-22	01:13:11Z
1	2	History of the debate	1	1	Race_and_intelligence	2420	History_of_the_debate	800318643	2017-09-12	2017-09-12	19:50:38Z
1	2	History of the debate	1	1	Race_and_intelligence	2420	History_of_the_debate	799985462	2017-09-11	2017-09-11	00:12:57Z
1	2	History of the debate	1	1	Race_and_intelligence	2420	History_of_the_debate	799982157	2017-09-10	2017-09-10	23:47:06Z
1	2	History of the debate	1	1	Race_and_intelligence	2420	History_of_the_debate	799485065	2017-09-08	2017-09-08	00:37:02Z
1	2	History of the debate	1	1	Race_and_intelligence	2420	History_of_the_debate	799344579	2017-09-07	2017-09-07	03:37:17Z
1	2	History	1	1	Race_and_intelligence	2126	History	799294640	2017-09-06	2017-09-06	20:52:00Z
1	2	History of the debate	1	1	Race_and_intelligence	2420	History_of_the_debate	797717210	2017-08-28	2017-08-28	19:49:35Z
1	2	History of the debate	1	1	Race_and_intelligence	2420	History_of_the_debate	796641062	2017-08-22	2017-08-22	06:15:41Z
1	2	History of the debate	1	1	Race_and_intelligence	2420	History_of_the_debate	794538720	2017-08-08	2017-08-08	17:16:00Z
1	2	History of the debate	1	1	Race_and_intelligence	2413	History_of_the_debate	792822597	2017-07-28	2017-07-28	22:37:16Z
1	2	History of the debate	1	1	Race_and_intelligence	2413	History_of_the_debate	791996729	2017-07-23	2017-07-23	20:02:50Z
1	2	History of the debate	1	1	Race_and_intelligence	2413	History_of_the_debate	791646917	2017-07-21	2017-07-21	15:54:22Z
1	2	History of the debate	1	1	Race_and_intelligence	2413	History_of_the_debate	788563821	2017-07-02	2017-07-02	03:50:14Z
1	2	History of the debate	1	1	Race_and_intelligence	2413	History_of_the_debate	786967155	2017-06-22	2017-06-22	17:03:41Z
1	2	History of the debate	1	1	Race_and_intelligence	2413	History_of_the_debate	786001377	2017-06-16	2017-06-16	17:27:44Z
1	2	History of the debate	1	1	Race_and_intelligence	2395	History_of_the_debate	785613486	2017-06-14	2017-06-14	13:48:48Z
1	2	History of the debate	1	1	Race_and_intelligence	2395	History_of_the_debate	785494796	2017-06-13	2017-06-13	21:06:41Z
1	2	History of the debate	1	1	Race_and_intelligence	2656	History_of_the_debate	783469548	2017-06-02	2017-06-02	14:32:02Z
1	2	History of the debate	1	1	Race_and_intelligence	2656	History_of_the_debate	783294091	2017-06-01	2017-06-01	10:28:15Z
1	2	History of the debate	1	1	Race_and_intelligence	2656	History_of_the_debate	783203529	2017-05-31	2017-05-31	19:38:29Z
1	2	History of the debate	1	1	Race_and_intelligence	2656	History_of_the_debate	782678902	2017-05-28	2017-05-28	13:45:22Z
1	2	History of the debate	1	1	Race_and_intelligence	2656	History_of_the_debate	781949119	2017-05-24	2017-05-24	04:12:22Z
1	2	History of the debate	1	1	Race_and_intelligence	2656	History_of_the_debate	781690756	2017-05-22	2017-05-22	17:57:14Z
